"","date","N_tests_received","N_positive_recieved","N_tests_reported","N_positive_reported","hospt_admit","conc","new.cases","test","prop.pos_report","prop.pos_rec","target"
"1",2020-03-02,1,0,0,0,NA,NA,NA,NA,NA,0,"N1"
"2",2020-03-03,0,0,1,0,NA,NA,NA,NA,0,NA,"N1"
"3",2020-03-08,2,0,1,0,NA,NA,NA,NA,0,0,"N1"
"4",2020-03-09,1,0,1,0,NA,NA,NA,NA,0,0,"N1"
"5",2020-03-10,2,0,0,0,NA,NA,NA,NA,NA,0,"N1"
"6",2020-03-11,4,0,2,0,NA,NA,NA,NA,0,0,"N1"
"7",2020-03-12,5,0,4,0,NA,NA,NA,NA,0,0,"N1"
"8",2020-03-13,12,2,2,0,NA,NA,NA,NA,0,0.166666666666667,"N1"
"9",2020-03-14,2,2,6,3,NA,NA,NA,NA,0.5,1,"N1"
"10",2020-03-16,13,4,0,0,NA,NA,NA,NA,NA,0.307692307692308,"N1"
"11",2020-03-17,40,5,2,0,NA,NA,NA,NA,0,0.125,"N1"
"12",2020-03-18,35,6,10,1,NA,NA,NA,NA,0.1,0.171428571428571,"N1"
"13",2020-03-19,49,10,0,0,7,10107.9101421611,1,"R1, N1",NA,0.204081632653061,"N1"
"14",2020-03-19,49,10,0,0,7,2346.55063402866,1,"R1, N2",NA,0.204081632653061,"N2"
"15",2020-03-19,49,10,0,0,7,13814.0733780807,1,"R2, N1",NA,0.204081632653061,"N1"
"16",2020-03-19,49,10,0,0,7,4933.5160848355,1,"R2, N2",NA,0.204081632653061,"N2"
"17",2020-03-20,34,5,6,2,10,10173.1962288526,2,"R1, N1",0.333333333333333,0.147058823529412,"N1"
"18",2020-03-20,34,5,6,2,10,1945.67636638025,2,"R1, N2",0.333333333333333,0.147058823529412,"N2"
"19",2020-03-20,34,5,6,2,10,8450.58550660151,2,"R2, N1",0.333333333333333,0.147058823529412,"N1"
"20",2020-03-20,34,5,6,2,10,11586.5741232681,2,"R2, N2",0.333333333333333,0.147058823529412,"N2"
"21",2020-03-21,26,11,10,3,3,30060.2540957634,1,"R1, N1",0.3,0.423076923076923,"N1"
"22",2020-03-21,26,11,10,3,3,6226.08972186738,1,"R1, N2",0.3,0.423076923076923,"N2"
"23",2020-03-21,26,11,10,3,3,50940.9555885429,1,"R2, N1",0.3,0.423076923076923,"N1"
