"","date","cases","test","conc","cov.tests","new.cases","hospt_admit","prop.pos","target"
"1",2020-03-02,NA,NA,NA,1,NA,NA,NA,"n1"
"2",2020-03-08,NA,NA,NA,1,NA,NA,NA,"n1"
"3",2020-03-09,NA,NA,NA,1,NA,NA,NA,"n1"
"4",2020-03-10,NA,NA,NA,2,NA,NA,NA,"n1"
"5",2020-03-11,NA,NA,NA,4,NA,NA,NA,"n1"
"6",2020-03-12,NA,NA,NA,5,NA,NA,NA,"n1"
"7",2020-03-13,2,NA,NA,12,NA,NA,0.166666666666667,"n1"
"8",2020-03-14,2,NA,NA,2,NA,NA,1,"n1"
"9",2020-03-16,5,NA,NA,12,NA,NA,0.416666666666667,"n1"
"10",2020-03-17,5,NA,NA,31,NA,NA,0.161290322580645,"n1"
"11",2020-03-18,6,NA,NA,33,NA,NA,0.181818181818182,"n1"
"12",2020-03-19,10,"rep2_n2",4933.5160848355,47,NA,8,0.212765957446809,"n1"
"13",2020-03-19,10,"rep1_n1",10107.9101421611,47,NA,8,0.212765957446809,"n2"
"14",2020-03-19,10,"rep1_n2",2346.55063402866,47,NA,8,0.212765957446809,"n1"
"15",2020-03-19,10,"rep2_n1",13814.0733780807,47,NA,8,0.212765957446809,"n2"
"16",2020-03-20,5,"rep1_n1",10173.1962288526,32,NA,10,0.15625,"n2"
"17",2020-03-20,5,"rep1_n2",1945.67636638025,32,NA,10,0.15625,"n1"
"18",2020-03-20,5,"rep2_n1",8450.58550660151,32,NA,10,0.15625,"n2"
"19",2020-03-20,5,"rep2_n2",11586.5741232681,32,NA,10,0.15625,"n1"
"20",2020-03-21,11,"rep1_n1",30060.2540957634,23,NA,3,0.478260869565217,"n2"
"21",2020-03-21,11,"rep2_n2",10082.2982232887,23,NA,3,0.478260869565217,"n1"
"22",2020-03-21,11,"rep1_n2",6226.08972186738,23,NA,3,0.478260869565217,"n1"
"23",2020-03-21,11,"rep2_n1",50940.9555885429,23,NA,3,0.478260869565217,"n2"
"24",2020-03-22,10,"rep1_n1",1705.81323864537,48,NA,8,0.208333333333333,"n2"
